tweet_text,time,wait_time
kingston terminal - one hour wait,2017-12-28 20:00 +0000,1.0
kingston terminal wait time - one hour,2017-12-28 23:50 +0000,1.0
update - no extended wait departing kingston,2017-12-29 04:20 +0000,0.0
kingston terminal wait time - one hour,2017-12-29 21:36 +0000,1.0
kingston terminal wait time - one hour,2017-12-29 21:45 +0000,1.0
update - no extended wait departing kingston,2017-12-30 03:00 +0000,0.0
kingston terminal wait time - one hour,2017-12-30 19:45 +0000,1.0
update - no extended wait departing kingston,2017-12-31 04:10 +0000,0.0
"ed/ki-kingston terminal wait time -1 hour, no wsp pass required",2017-04-02 18:25 +0000,1.0
"ed/ki-update: kingston terminal wait time -2 hours, no wsp pass required",2017-04-02 20:15 +0000,2.0
ed/ki-update- kingston terminal wait time: 2 hrs. with wsp boarding passes,2017-04-02 21:55 +0000,2.0
"ed/ki-update: kingston terminal wait time -1 hour, no wsp pass required",2017-04-02 23:55 +0000,1.0
update - no extended wait departing kingston,2017-04-03 02:50 +0000,0.0
"kingston terminal wait time - 1 hour, no wsp pass required",2017-04-09 17:45 +0000,1.0
"update --  kingston terminal wait time - 2 hours, no wsp pass required",2017-04-09 23:55 +0000,2.0
"update --  kingston terminal wait time - 1 hour, no wsp pass required",2017-04-10 00:50 +0000,1.0
update -- no extended wait in kingston,2017-04-10 01:40 +0000,0.0
"ed/ki-kingston terminal wait time - 1 hour, no wsp pass required",2017-04-15 18:30 +0000,1.0
update -- no extended wait in kingston,2017-04-16 03:10 +0000,0.0
"ed/ki - kingston terminal wait time - 1 hour, no wsp pass required",2017-04-16 16:45 +0000,1.0
"edm/ki-kingston terminal wait time - 2 hours, no wsp pass required",2017-04-16 17:50 +0000,2.0
edm/ki-update- kingston terminal wait time: 2 hrs. with wsp boarding passes,2017-04-16 21:50 +0000,2.0
edm/ki-update- kingston terminal wait time: 1 hr. with wsp boarding passes,2017-04-17 01:35 +0000,1.0
kingston terminal wait time - one hour,2017-04-21 23:15 +0000,1.0
update - no extended wait departing kingston,2017-04-22 03:10 +0000,0.0
edm/ki-kingston terminal wait time: 1 hour no wsp tallies,2017-04-22 19:45 +0000,1.0
update - no extended wait departing kingston,2017-04-23 02:55 +0000,0.0
edm/ki-kingston terminal wait time: 1 hour no wsp tallies,2017-04-23 18:10 +0000,1.0
edm/ki-kingston terminal wait time: 2 hour no wsp tallies,2017-04-23 19:35 +0000,2.0
ed/ki-update- kingston terminal wait time: 2 hr. with wsp boarding pass required,2017-04-23 20:15 +0000,2.0
ed/ki-update- kingston terminal wait time: 1 hr. with wsp boarding pass required,2017-04-23 22:45 +0000,1.0
edm/ki-update-kingston terminal wait time: 1 hour no wsp tallies,2017-04-23 23:45 +0000,1.0
ed/ki- update- there is no extended wait in kingston.,2017-04-24 01:45 +0000,0.0
edm/ki-kingston terminal wait time: 1 hour no wsp tallies,2017-04-29 16:55 +0000,1.0
edm/ki-update-kingston terminal wait time: 2 hours no wsp tallies,2017-04-29 17:55 +0000,2.0
edm/ki-update-kingston terminal wait time: 1 hour no wsp tallies,2017-04-29 19:40 +0000,1.0
ed/ki- update- there is no extended wait in kingston.,2017-04-29 20:45 +0000,0.0
ed/ki- kingston terminal wait time: 1 hr. no  boarding pass required,2017-04-30 18:25 +0000,1.0
kingston terminal - 1 hour wait -  no wsp boarding passes,2017-10-01 19:25 +0000,1.0
kingston wait time - 2 hours w/ wsp boarding passes,2017-10-01 20:45 +0000,2.0
