tweet_text,time,wait_time
update - no extended wait departing edmonds,2017-10-07 03:45 +0000,0.0
edmonds terminal wait time - one hour,2017-10-07 17:40 +0000,1.0
update-edmonds terminal wait time -90 minutes,2017-10-07 19:15 +0000,1.5
update-edmonds terminal wait time -60 minutes,2017-10-07 22:50 +0000,1.0
update - no extended wait departing edmonds,2017-10-08 00:35 +0000,0.0
extended wait in edmonds - 90 minutes,2017-10-13 23:10 +0000,1.5
update - extended wait in edmonds - 2 hours,2017-10-14 00:55 +0000,2.0
update - extended wait in edmonds - 1 hour,2017-10-14 03:15 +0000,1.0
update - no extended wait in edmonds,2017-10-14 04:40 +0000,0.0
edmonds terminal wait time - 90 minutes,2017-10-14 17:30 +0000,1.5
update - edmonds terminal wait time - 1 hour,2017-10-15 00:45 +0000,1.0
update - no extended wait in edmonds,2017-10-15 02:25 +0000,0.0
extended wait in edmonds - 1 hour,2017-10-20 22:35 +0000,1.0
update - extended wait in edmonds - 90 min,2017-10-20 23:00 +0000,1.5
update - no extended wait in edmonds,2017-10-21 02:45 +0000,0.0
edmonds terminal wait time -60 minutes,2017-10-27 23:00 +0000,1.0
update - no extended wait departing edmonds,2017-10-28 02:35 +0000,0.0
edmonds terminal wait time -60 minutes,2017-10-28 20:00 +0000,1.0
update - no extended wait in edmonds,2017-10-28 22:05 +0000,0.0
edmonds terminal status - 1 hour wait,2019-01-11 23:30 +0000,1.0
no extended wait departing edmonds,2019-01-12 03:20 +0000,0.0
edmonds terminal status - two hour wait,2019-01-19 00:25 +0000,2.0
no extended wait departing edmonds,2019-01-19 02:40 +0000,0.0
edmonds terminal status - one hour wait,2019-01-19 22:20 +0000,1.0
edmonds terminal status - 90 minute wait,2019-01-25 23:20 +0000,1.5
no extended wait departing edmonds,2019-01-26 03:10 +0000,0.0
no extended wait for drivers departing edmonds,2019-08-01 02:15 +0000,0.0
edmonds terminal status - one hour wait,2019-08-01 21:05 +0000,1.0
"no extended wait departing edmonds, late vessels",2019-08-02 03:05 +0000,0.0
edmonds terminal status - one hour wait,2019-08-02 17:35 +0000,1.0
updates: edmonds terminal status -three hour wait,2019-08-02 19:15 +0000,3.0
edmonds terminal wait-time sign is out of service,2019-08-02 23:10 +0000,
edmonds terminal status - three hour wait,2019-08-02 23:20 +0000,3.0
